fighter_a,fighter_b,winner,method,weight_class,event
Joe Pyfer,Israel Adesanya,Joe Pyfer,"KO/TKO

      

        Punches",Middleweight,UFC Fight Night: Adesanya vs. Pyfer
Alexa Grasso,Maycee Barber,Alexa Grasso,"KO/TKO

      

        Punch",Women's Flyweight,UFC Fight Night: Adesanya vs. Pyfer
Michael Chiesa,Niko Price,Michael Chiesa,"SUB

      

        Rear Naked Choke",Welterweight,UFC Fight Night: Adesanya vs. Pyfer
Lerryan Douglas,Julian Erosa,Lerryan Douglas,"KO/TKO

      

        Punches",Featherweight,UFC Fight Night: Adesanya vs. Pyfer
Yousri Belgaroui,Mansur Abdul-Malik,Yousri Belgaroui,"KO/TKO

      

        Knee",Middleweight,UFC Fight Night: Adesanya vs. Pyfer
Terrance McKinney,Kyle Nelson,Terrance McKinney,"KO/TKO

      

        Punches",Lightweight,UFC Fight Night: Adesanya vs. Pyfer
Tofiq Musayev,Ignacio Bahamondes,Tofiq Musayev,U-DEC,Lightweight,UFC Fight Night: Adesanya vs. Pyfer
Lance Gibson Jr.,Chase Hooper,Lance Gibson Jr.,"KO/TKO

      

        Knees",Lightweight,UFC Fight Night: Adesanya vs. Pyfer
Tyrell Fortune,Marcin Tybura,Tyrell Fortune,U-DEC,Heavyweight,UFC Fight Night: Adesanya vs. Pyfer
Casey O'Neill,Gabriella Fernandes,Casey O'Neill,"KO/TKO

      

        Punches",Women's Flyweight,UFC Fight Night: Adesanya vs. Pyfer
Navajo Stirling,Bruno Lopes,Navajo Stirling,"KO/TKO

      

        Punches",Light Heavyweight,UFC Fight Night: Adesanya vs. Pyfer
Ricky Simon,Adrian Yanez,,M-DEC,Bantamweight,UFC Fight Night: Adesanya vs. Pyfer
Alexia Thainara,Bruna Brasil,Alexia Thainara,U-DEC,Women's Strawweight,UFC Fight Night: Adesanya vs. Pyfer
Movsar Evloev,Lerone Murphy,Movsar Evloev,M-DEC,Featherweight,UFC Fight Night: Evloev vs. Murphy
Luke Riley,Michael Aswell Jr.,Luke Riley,U-DEC,Featherweight,UFC Fight Night: Evloev vs. Murphy
Michael Page,Sam Patterson,Michael Page,U-DEC,Welterweight,UFC Fight Night: Evloev vs. Murphy
Iwo Baraniewski,Austen Lane,Iwo Baraniewski,"KO/TKO

      

        Punch",Light Heavyweight,UFC Fight Night: Evloev vs. Murphy
Christian Leroy Duncan,Roman Dolidze,Christian Leroy Duncan,U-DEC,Middleweight,UFC Fight Night: Evloev vs. Murphy
Danny Silva,Kurtis Campbell,Danny Silva,"KO/TKO

      

        Punches",Featherweight,UFC Fight Night: Evloev vs. Murphy
Mason Jones,Axel Sola,Mason Jones,U-DEC,Lightweight,UFC Fight Night: Evloev vs. Murphy
Nathaniel Wood,Losene Keita,Nathaniel Wood,S-DEC,Featherweight,UFC Fight Night: Evloev vs. Murphy
Mario Pinto,Felipe Franco,Mario Pinto,U-DEC,Heavyweight,UFC Fight Night: Evloev vs. Murphy
Mantas Kondratavicius,Antonio Trocoli,Mantas Kondratavicius,U-DEC,Middleweight,UFC Fight Night: Evloev vs. Murphy
Brando Pericic,Louie Sutherland,Brando Pericic,"KO/TKO

      

        Punches",Heavyweight,UFC Fight Night: Evloev vs. Murphy
Abdul-Kareem Al-Selwady,Shem Rock,Abdul-Kareem Al-Selwady,U-DEC,Lightweight,UFC Fight Night: Evloev vs. Murphy
Shanelle Dyer,Ravena Oliveira,Shanelle Dyer,"KO/TKO

      

        Punches",Women's Strawweight,UFC Fight Night: Evloev vs. Murphy
Kevin Vallejos,Josh Emmett,Kevin Vallejos,"KO/TKO

      

        Punches",Featherweight,UFC Fight Night: Emmett vs. Vallejos
Gillian Robertson,Amanda Lemos,Gillian Robertson,U-DEC,Women's Strawweight,UFC Fight Night: Emmett vs. Vallejos
Jose Delgado,Andre Fili,Jose Delgado,S-DEC,Featherweight,UFC Fight Night: Emmett vs. Vallejos
Marwan Rahiki,Harry Hardwick,Marwan Rahiki,KO/TKO,Featherweight,UFC Fight Night: Emmett vs. Vallejos
Ion Cutelaba,Oumar Sy,Ion Cutelaba,"SUB

      

        Guillotine Choke",Light Heavyweight,UFC Fight Night: Emmett vs. Vallejos
Charles Johnson,Bruno Silva,Charles Johnson,S-DEC,Flyweight,UFC Fight Night: Emmett vs. Vallejos
Myktybek Orolbai,Chris Curtis,Myktybek Orolbai,U-DEC,Welterweight,UFC Fight Night: Emmett vs. Vallejos
Vitor Petrino,Steven Asplund,Vitor Petrino,U-DEC,Heavyweight,UFC Fight Night: Emmett vs. Vallejos
Elijah Smith,SuYoung You,Elijah Smith,"SUB

      

        Rear Naked Choke",Bantamweight,UFC Fight Night: Emmett vs. Vallejos
Manoel Sousa,Bolaji Oki,Manoel Sousa,"KO/TKO

      

        Punch",Lightweight,UFC Fight Night: Emmett vs. Vallejos
Eryk Anders,Brad Tavares,Eryk Anders,U-DEC,Middleweight,UFC Fight Night: Emmett vs. Vallejos
Bia Mesquita,Montse Rendon,Bia Mesquita,"SUB

      

        Rear Naked Choke",Women's Bantamweight,UFC Fight Night: Emmett vs. Vallejos
Hecher Sosa,Luan Lacerda,Hecher Sosa,U-DEC,Bantamweight,UFC Fight Night: Emmett vs. Vallejos
Piera Rodriguez,Sam Hughes,Piera Rodriguez,U-DEC,Women's Strawweight,UFC Fight Night: Emmett vs. Vallejos
Charles Oliveira,Max Holloway,Charles Oliveira,U-DEC,Lightweight,UFC 326: Holloway vs. Oliveira 2
Caio Borralho,Reinier de Ridder,Caio Borralho,U-DEC,Middleweight,UFC 326: Holloway vs. Oliveira 2
Raul Rosas Jr.,Rob Font,Raul Rosas Jr.,U-DEC,Bantamweight,UFC 326: Holloway vs. Oliveira 2
Drew Dober,Michael Johnson,Drew Dober,"KO/TKO

      

        Punch",Lightweight,UFC 326: Holloway vs. Oliveira 2
Gregory Rodrigues,Brunno Ferreira,Gregory Rodrigues,"KO/TKO

      

        Punch",Middleweight,UFC 326: Holloway vs. Oliveira 2
Cody Garbrandt,Xiao Long,Cody Garbrandt,U-DEC,Bantamweight,UFC 326: Holloway vs. Oliveira 2
Donte Johnson,Cody Brundage,Donte Johnson,S-DEC,Middleweight,UFC 326: Holloway vs. Oliveira 2
Alberto Montes,Ricky Turcios,Alberto Montes,"SUB

      

        Anaconda Choke",Featherweight,UFC 326: Holloway vs. Oliveira 2
Nyamjargal Tumendemberel,Cody Durden,Nyamjargal Tumendemberel,U-DEC,Flyweight,UFC 326: Holloway vs. Oliveira 2
Sumudaerji,Jesus Aguilar,Sumudaerji,U-DEC,Flyweight,UFC 326: Holloway vs. Oliveira 2
Diyar Nurgozhay,Rafael Tobias,Diyar Nurgozhay,U-DEC,Light Heavyweight,UFC 326: Holloway vs. Oliveira 2
Rodolfo Bellato,Luke Fernandez,Rodolfo Bellato,"KO/TKO

      

        Punches",Light Heavyweight,UFC 326: Holloway vs. Oliveira 2
Lone'er Kavanagh,Brandon Moreno,Lone'er Kavanagh,U-DEC,Flyweight,UFC Fight Night: Moreno vs. Kavanagh
David Martinez,Marlon Vera,David Martinez,U-DEC,Bantamweight,UFC Fight Night: Moreno vs. Kavanagh
King Green,Daniel Zellhuber,King Green,"KO/TKO

      

        Punches",Lightweight,UFC Fight Night: Moreno vs. Kavanagh
Edgar Chairez,Felipe Bunes,Edgar Chairez,S-DEC,Flyweight,UFC Fight Night: Moreno vs. Kavanagh
Imanol Rodriguez,Kevin Borjas,Imanol Rodriguez,"KO/TKO

      

        Punch",Flyweight,UFC Fight Night: Moreno vs. Kavanagh
Santiago Luna,Angel Pacheco,Santiago Luna,U-DEC,Bantamweight,UFC Fight Night: Moreno vs. Kavanagh
Ryan Gandra,Jose Daniel Medina,Ryan Gandra,"KO/TKO

      

        Punches",Middleweight,UFC Fight Night: Moreno vs. Kavanagh
Ailin Perez,Macy Chiasson,Ailin Perez,U-DEC,Women's Bantamweight,UFC Fight Night: Moreno vs. Kavanagh
Cristian Quinonez,Kris Moutinho,Cristian Quinonez,U-DEC,Bantamweight,UFC Fight Night: Moreno vs. Kavanagh
Javier Reyes,Douglas Silva de Andrade,Javier Reyes,"KO/TKO

      

        Punches",Featherweight,UFC Fight Night: Moreno vs. Kavanagh
Regina Tarin,Ernesta Kareckaite,Regina Tarin,U-DEC,Catch Weight,UFC Fight Night: Moreno vs. Kavanagh
Francis Marshall,Erik Silva,Francis Marshall,"SUB

      

        Rear Naked Choke",Featherweight,UFC Fight Night: Moreno vs. Kavanagh
Damian Pinas,Wes Schultz,Damian Pinas,"KO/TKO

      

        Punch",Middleweight,UFC Fight Night: Moreno vs. Kavanagh
Sean Strickland,Anthony Hernandez,Sean Strickland,"KO/TKO

      

        Punches",Middleweight,UFC Fight Night: Strickland vs. Hernandez
Uros Medic,Geoff Neal,Uros Medic,"KO/TKO

      

        Punch",Welterweight,UFC Fight Night: Strickland vs. Hernandez
Melquizael Costa,Dan Ige,Melquizael Costa,"KO/TKO

      

        Spinning Back Kick",Featherweight,UFC Fight Night: Strickland vs. Hernandez
Serghei Spivac,Ante Delija,Serghei Spivac,U-DEC,Heavyweight,UFC Fight Night: Strickland vs. Hernandez
Jacobe Smith,Josiah Harrell,Jacobe Smith,"KO/TKO

      

        Punches",Welterweight,UFC Fight Night: Strickland vs. Hernandez
Michel Pereira,Zach Reese,Michel Pereira,S-DEC,Middleweight,UFC Fight Night: Strickland vs. Hernandez
Carlos Leal,Chidi Njokuani,Carlos Leal,U-DEC,Welterweight,UFC Fight Night: Strickland vs. Hernandez
Ode Osbourne,Alibi Idiris,,Overturned,Flyweight,UFC Fight Night: Strickland vs. Hernandez
Alden Coria,Luis Gurule,Alden Coria,U-DEC,Flyweight,UFC Fight Night: Strickland vs. Hernandez
Joselyne Edwards,Nora Cornolle,Joselyne Edwards,"SUB

      

        Rear Naked Choke",Women's Bantamweight,UFC Fight Night: Strickland vs. Hernandez
Punahele Soriano,Ramiz Brahimaj,Punahele Soriano,U-DEC,Welterweight,UFC Fight Night: Strickland vs. Hernandez
Jean-Paul Lebosnoyani,Phil Rowe,Jean-Paul Lebosnoyani,S-DEC,Welterweight,UFC Fight Night: Strickland vs. Hernandez
Jordan Leavitt,Yadier del Valle,Jordan Leavitt,U-DEC,Featherweight,UFC Fight Night: Strickland vs. Hernandez
Carli Judice,Juliana Miller,Carli Judice,U-DEC,Women's Flyweight,UFC Fight Night: Strickland vs. Hernandez
Mario Bautista,Vinicius Oliveira,Mario Bautista,"SUB

      

        Rear Naked Choke",Bantamweight,UFC Fight Night: Bautista vs. Oliveira
Kyoji Horiguchi,Amir Albazi,Kyoji Horiguchi,U-DEC,Flyweight,UFC Fight Night: Bautista vs. Oliveira
Rizvan Kuniev,Jailton Almeida,Rizvan Kuniev,U-DEC,Heavyweight,UFC Fight Night: Bautista vs. Oliveira
Michal Oleksiejczuk,Marc-Andre Barriault,Michal Oleksiejczuk,U-DEC,Middleweight,UFC Fight Night: Bautista vs. Oliveira
Farid Basharat,Jean Matsumoto,Farid Basharat,S-DEC,Bantamweight,UFC Fight Night: Bautista vs. Oliveira
Dustin Jacoby,Julius Walker,Dustin Jacoby,"KO/TKO

      

        Punches",Light Heavyweight,UFC Fight Night: Bautista vs. Oliveira
Daniil Donchenko,Alex Morono,Daniil Donchenko,U-DEC,Welterweight,UFC Fight Night: Bautista vs. Oliveira
Nikolay Veretennikov,Niko Price,Nikolay Veretennikov,"KO/TKO

      

        Punches",Welterweight,UFC Fight Night: Bautista vs. Oliveira
Ketlen Souza,Bruna Brasil,Ketlen Souza,U-DEC,Women's Strawweight,UFC Fight Night: Bautista vs. Oliveira
Javid Basharat,Gianni Vazquez,Javid Basharat,U-DEC,Bantamweight,UFC Fight Night: Bautista vs. Oliveira
Wang Cong,Eduarda Moura,Wang Cong,U-DEC,Catch Weight,UFC Fight Night: Bautista vs. Oliveira
Jakub Wiklacz,Muin Gafurov,Jakub Wiklacz,"SUB

      

        Guillotine Choke",Bantamweight,UFC Fight Night: Bautista vs. Oliveira
Klaudia Sygula,Priscila Cachoeira,Klaudia Sygula,U-DEC,Women's Bantamweight,UFC Fight Night: Bautista vs. Oliveira
Alexander Volkanovski,Diego Lopes,Alexander Volkanovski,U-DEC,Featherweight,UFC 325: Volkanovski vs. Lopes 2
Benoit Saint Denis,Dan Hooker,Benoit Saint Denis,"KO/TKO

      

        Punches",Lightweight,UFC 325: Volkanovski vs. Lopes 2
Mauricio Ruffy,Rafael Fiziev,Mauricio Ruffy,"KO/TKO

      

        Punches",Lightweight,UFC 325: Volkanovski vs. Lopes 2
Tallison Teixeira,Tai Tuivasa,Tallison Teixeira,U-DEC,Heavyweight,UFC 325: Volkanovski vs. Lopes 2
Quillan Salkilld,Jamie Mullarkey,Quillan Salkilld,"SUB

      

        Neck Crank",Lightweight,UFC 325: Volkanovski vs. Lopes 2
Billy Elekana,Junior Tafa,Billy Elekana,"SUB

      

        Rear Naked Choke",Light Heavyweight,UFC 325: Volkanovski vs. Lopes 2
Cam Rowston,Cody Brundage,Cam Rowston,"KO/TKO

      

        Punches",Middleweight,UFC 325: Volkanovski vs. Lopes 2
Jacob Malkoun,Torrez Finney,Jacob Malkoun,U-DEC,Middleweight,UFC 325: Volkanovski vs. Lopes 2
Jonathan Micallef,Oban Elliott,Jonathan Micallef,"SUB

      

        Rear Naked Choke",Welterweight,UFC 325: Volkanovski vs. Lopes 2
Kaan Ofli,Yizha,Kaan Ofli,M-DEC,Featherweight,UFC 325: Volkanovski vs. Lopes 2
Dom Mar Fan,Sangwook Kim,Dom Mar Fan,U-DEC,Lightweight,UFC 325: Volkanovski vs. Lopes 2
Keiichiro Nakamura,Sebastian Szalay,Keiichiro Nakamura,"KO/TKO

      

        Knee",Featherweight,UFC 325: Volkanovski vs. Lopes 2
Lawrence Lui,Sulangrangbo,Lawrence Lui,S-DEC,Bantamweight,UFC 325: Volkanovski vs. Lopes 2
Justin Gaethje,Paddy Pimblett,Justin Gaethje,U-DEC,Lightweight,UFC 324: Gaethje vs. Pimblett
Sean O'Malley,Song Yadong,Sean O'Malley,U-DEC,Bantamweight,UFC 324: Gaethje vs. Pimblett
Waldo Cortes Acosta,Derrick Lewis,Waldo Cortes Acosta,"KO/TKO

      

        Punches",Heavyweight,UFC 324: Gaethje vs. Pimblett
Natalia Silva,Rose Namajunas,Natalia Silva,U-DEC,Women's Flyweight,UFC 324: Gaethje vs. Pimblett
Jean Silva,Arnold Allen,Jean Silva,U-DEC,Featherweight,UFC 324: Gaethje vs. Pimblett
Umar Nurmagomedov,Deiveson Figueiredo,Umar Nurmagomedov,U-DEC,Bantamweight,UFC 324: Gaethje vs. Pimblett
Ateba Gautier,Andrey Pulyaev,Ateba Gautier,U-DEC,Middleweight,UFC 324: Gaethje vs. Pimblett
Nikita Krylov,Modestas Bukauskas,Nikita Krylov,"KO/TKO

      

        Punch",Light Heavyweight,UFC 324: Gaethje vs. Pimblett
Alex Perez,Charles Johnson,Alex Perez,"KO/TKO

      

        Punch",Flyweight,UFC 324: Gaethje vs. Pimblett
Josh Hokit,Denzel Freeman,Josh Hokit,"KO/TKO

      

        Punches",Heavyweight,UFC 324: Gaethje vs. Pimblett
Ty Miller,Adam Fugitt,Ty Miller,"KO/TKO

      

        Punches",Welterweight,UFC 324: Gaethje vs. Pimblett
Manel Kape,Brandon Royval,Manel Kape,"KO/TKO

      

        Punches",Flyweight,UFC Fight Night: Royval vs. Kape
Kevin Vallejos,Giga Chikadze,Kevin Vallejos,"KO/TKO

      

        Spinning Back Fist",Featherweight,UFC Fight Night: Royval vs. Kape
Cezary Oleksiejczuk,Cesar Almeida,Cezary Oleksiejczuk,U-DEC,Middleweight,UFC Fight Night: Royval vs. Kape
Melquizael Costa,Morgan Charriere,Melquizael Costa,"KO/TKO

      

        Kick",Featherweight,UFC Fight Night: Royval vs. Kape
Kennedy Nzechukwu,Marcus Buchecha,,U-DEC,Heavyweight,UFC Fight Night: Royval vs. Kape
King Green,Lance Gibson Jr.,King Green,S-DEC,Catch Weight,UFC Fight Night: Royval vs. Kape
Yaroslav Amosov,Neil Magny,Yaroslav Amosov,"SUB

      

        Anaconda Choke",Welterweight,UFC Fight Night: Royval vs. Kape
Joanderson Brito,Isaac Thomson,Joanderson Brito,U-DEC,Featherweight,UFC Fight Night: Royval vs. Kape
Steven Asplund,Sean Sharaf,Steven Asplund,"KO/TKO

      

        Punches",Heavyweight,UFC Fight Night: Royval vs. Kape
Luana Santos,Melissa Croden,Luana Santos,U-DEC,Women's Bantamweight,UFC Fight Night: Royval vs. Kape
Guilherme Pat,Allen Frye Jr.,Guilherme Pat,U-DEC,Heavyweight,UFC Fight Night: Royval vs. Kape
Jamey-Lyn Horth,Tereza Bleda,Jamey-Lyn Horth,"KO/TKO

      

        Punches",Women's Flyweight,UFC Fight Night: Royval vs. Kape
Petr Yan,Merab Dvalishvili,Petr Yan,U-DEC,Bantamweight,UFC 323: Dvalishvili vs. Yan 2
Joshua Van,Alexandre Pantoja,Joshua Van,KO/TKO,Flyweight,UFC 323: Dvalishvili vs. Yan 2
Tatsuro Taira,Brandon Moreno,Tatsuro Taira,"KO/TKO

      

        Punches",Flyweight,UFC 323: Dvalishvili vs. Yan 2
Payton Talbott,Henry Cejudo,Payton Talbott,U-DEC,Bantamweight,UFC 323: Dvalishvili vs. Yan 2
Jan Blachowicz,Bogdan Guskov,,M-DEC,Light Heavyweight,UFC 323: Dvalishvili vs. Yan 2
Manuel Torres,Grant Dawson,Manuel Torres,"KO/TKO

      

        Punch",Lightweight,UFC 323: Dvalishvili vs. Yan 2
Chris Duncan,Terrance McKinney,Chris Duncan,"SUB

      

        Anaconda Choke",Lightweight,UFC 323: Dvalishvili vs. Yan 2
Maycee Barber,Karine Silva,Maycee Barber,U-DEC,Women's Flyweight,UFC 323: Dvalishvili vs. Yan 2
Fares Ziam,Nazim Sadykhov,Fares Ziam,"KO/TKO

      

        Punches",Lightweight,UFC 323: Dvalishvili vs. Yan 2
Brunno Ferreira,Marvin Vettori,Brunno Ferreira,U-DEC,Middleweight,UFC 323: Dvalishvili vs. Yan 2
Jalin Turner,Edson Barboza,Jalin Turner,"KO/TKO

      

        Punches",Lightweight,UFC 323: Dvalishvili vs. Yan 2
Iwo Baraniewski,Ibo Aslan,Iwo Baraniewski,"KO/TKO

      

        Punches",Light Heavyweight,UFC 323: Dvalishvili vs. Yan 2
Mansur Abdul-Malik,Antonio Trocoli,Mansur Abdul-Malik,"SUB

      

        Guillotine Choke",Middleweight,UFC 323: Dvalishvili vs. Yan 2
Mairon Santos,Muhammad Naimov,Mairon Santos,"KO/TKO

      

        Punches",Featherweight,UFC 323: Dvalishvili vs. Yan 2
Arman Tsarukyan,Dan Hooker,Arman Tsarukyan,"SUB

      

        Arm Triangle",Lightweight,UFC Fight Night: Tsarukyan vs. Hooker
Ian Machado Garry,Belal Muhammad,Ian Machado Garry,U-DEC,Welterweight,UFC Fight Night: Tsarukyan vs. Hooker
Volkan Oezdemir,Alonzo Menifield,Volkan Oezdemir,"KO/TKO

      

        Punches",Light Heavyweight,UFC Fight Night: Tsarukyan vs. Hooker
Myktybek Orolbai,Jack Hermansson,Myktybek Orolbai,"KO/TKO

      

        Punch",Welterweight,UFC Fight Night: Tsarukyan vs. Hooker
Waldo Cortes Acosta,Shamil Gaziev,Waldo Cortes Acosta,"KO/TKO

      

        Punch",Heavyweight,UFC Fight Night: Tsarukyan vs. Hooker
Kyoji Horiguchi,Tagir Ulanbekov,Kyoji Horiguchi,"SUB

      

        Rear Naked Choke",Flyweight,UFC Fight Night: Tsarukyan vs. Hooker
Luke Riley,Bogdan Grad,Luke Riley,"KO/TKO

      

        Punches",Featherweight,UFC Fight Night: Tsarukyan vs. Hooker
Nicolas Dalby,Saygid Izagakhmaev,Nicolas Dalby,S-DEC,Welterweight,UFC Fight Night: Tsarukyan vs. Hooker
Asu Almabayev,Alex Perez,Asu Almabayev,"SUB

      

        Guillotine Choke",Flyweight,UFC Fight Night: Tsarukyan vs. Hooker
